cc_num,name,total_transactions,fraud_transactions
60416207185.0,Mary Diaz,1242,9
60422928733.0,Jeffrey Powers,1261,12
60423098130.0,Jason Gray,423,10
60427851591.0,Bradley Martinez,432,14
60490596305.0,Karen Johnson,827,10
501803000000.0,Robert Flores,1255,7
501828000000.0,Sandra Davies,417,8
501831000000.0,Corey Jones,846,8
501851000000.0,Sydney Morales,15,15
501895000000.0,Angelica Lopez,7,7
501899000000.0,Jessica Dominguez,1249,8
502013000000.0,Sherry Martinez,1575,14
502038000000.0,Kurt Peters,1281,9
502050000000.0,Daniel Melton,847,5
503848000000.0,Gregory Wallace,1279,12
503874000000.0,Andrew Mcgee,2072,9
560881000000.0,Audrey Martinez,410,9
561943000000.0,Melissa Brown,1266,10
568279000000.0,Micheal Hernandez,876,9
571314000000.0,Lori Mclean,412,14
571365000000.0,Barbara Taylor,2521,10
571465000000.0,Louis Fisher,1618,12
573860000000.0,Cristian Jones,1729,11
577891000000.0,Lisa Carpenter,12,12
581293000000.0,William Thomas,1227,11
581686000000.0,Larry House,2082,10
584674000000.0,Jessica Jordan,1628,6
630413000000.0,Heather Stanton,411,8
630426000000.0,Bryan Miller,1277,15
630442000000.0,Susan Washington,1622,4
630452000000.0,Rachel Daniels,2481,10
630471000000.0,George Floyd,428,10
630485000000.0,Ian Patton,1640,8
639024000000.0,Destiny Lowe,2049,14
639030000000.0,Stephen Lopez,835,8
675910000000.0,Christopher Henry,818,11
675990000000.0,Amanda Spencer,1670,15
676102000000.0,Natasha Mclaughlin,1701,6
676118000000.0,Katelyn Wise,840,13
676149000000.0,Jennifer Vega,843,14
676180000000.0,Brittany Mccarthy,11,11
676195000000.0,Brandy Quinn,1644,8
676234000000.0,David Vasquez,400,10
676246000000.0,Ashley Blanchard,856,11
676248000000.0,Amanda Wheeler,841,9
676292000000.0,Lisa Fitzpatrick,431,12
676299000000.0,Jessica Werner,1218,11
676308000000.0,Donald Evans,424,12
676310000000.0,Robert Martinez,843,10
676327000000.0,Jacqueline Caldwell,398,8
4006050000000.0,Robert Sanchez,823,10
4076170000000.0,Bradley Adkins,12,12
4079770000000.0,Eric Preston,1663,11
4149640000000.0,Samuel Farrell,1622,7
4158010000000.0,Alicia Miller,421,10
